user_id,account_id,account_name,industry,region,segment,billing_country,account_status,owner_team,email_address,full_name,title,department,created_at,last_login_at,user_status,is_active_user,is_test_user,days_since_last_login
U3001,A1001,Helio Systems,healthcare,EMEA,mid_market,NL,active,CSM-EMEA,lena.park@heliosystems.example,Lena Park,Technical Program Manager,product,2024-09-06 09:43:48,2025-06-14 17:24:20,active,true,false,283
U3002,A1001,Helio Systems,healthcare,EMEA,mid_market,NL,active,CSM-EMEA,mei.lewis@heliosystems.example,Mei Lewis,BI Analyst,analytics,2024-09-23 08:43:48,2025-06-24 06:02:36,active,true,false,273
U3003,A1001,Helio Systems,healthcare,EMEA,mid_market,NL,active,CSM-EMEA,marcus.saeed@heliosystems.example,Marcus Saeed,Operations Manager,operations,2024-08-18 03:43:48,2025-06-23 06:02:58,active,true,false,274
U3004,A1001,Helio Systems,healthcare,EMEA,mid_market,NL,active,CSM-EMEA,peter.ng@heliosystems.example,Peter Ng,Operations Director,operations,2024-09-10 06:43:48,2025-04-09 07:48:16,inactive,false,false,349
U3005,A1001,Helio Systems,healthcare,EMEA,mid_market,NL,active,CSM-EMEA,sofia.fischer@heliosystems.example,Sofia Fischer,Demand Gen Manager,marketing,2024-08-18 06:43:48,2025-06-18 12:38:50,active,true,false,279
U3006,A1001,Helio Systems,healthcare,EMEA,mid_market,NL,active,CSM-EMEA,marcus.silva@heliosystems.example,Marcus Silva,Finance Manager,finance,2024-08-15 05:43:48,2025-05-21 12:37:40,inactive,false,false,307
U3007,A1001,Helio Systems,healthcare,EMEA,mid_market,NL,active,CSM-EMEA,naomi.turner@heliosystems.example,Naomi Turner,Product Manager,product,2024-08-18 01:43:48,2025-07-01 01:24:04,active,true,false,266
U3008,A1001,Helio Systems,healthcare,EMEA,mid_market,NL,active,CSM-EMEA,peter.saeed@heliosystems.example,Peter Saeed,Revenue Operations Manager,sales,2024-08-31 04:43:48,2025-06-11 22:48:57,active,true,false,286
U3009,A1001,Helio Systems,healthcare,EMEA,mid_market,NL,active,CSM-EMEA,victor.price@heliosystems.example,Victor Price,Product Manager,product,2024-08-20 08:43:48,2025-06-11 04:34:27,active,true,false,286
U3010,A1002,Summit Foods,media,NA,mid_market,US,active,CSM-East,sofia.alvarez@summitfoods.example,Sofia Alvarez,FP&A Analyst,finance,2025-02-07 11:12:29,2025-06-16 15:08:19,active,true,false,281
U3011,A1002,Summit Foods,media,NA,mid_market,US,active,CSM-East,lena.price@summitfoods.example,Lena Price,Controller,finance,2025-02-22 12:12:29,2025-06-19 13:04:00,active,true,false,278
U3012,A1002,Summit Foods,media,NA,mid_market,US,active,CSM-East,tomas.saeed@summitfoods.example,Tomas Saeed,Analytics Engineer,data,2025-02-10 11:12:29,2025-06-19 20:27:51,active,true,false,278
U3013,A1002,Summit Foods,media,NA,mid_market,US,active,CSM-East,nina.romero@summitfoods.example,Nina Romero,Founder,executive,2025-02-02 14:12:29,2025-06-26 00:59:10,active,true,false,271
U3014,A1002,Summit Foods,media,NA,mid_market,US,active,CSM-East,marcus.silva@summitfoods.example,Marcus Silva,Finance Manager,finance,2025-02-02 19:12:29,2025-06-26 09:27:20,active,true,false,271
U3015,A1002,Summit Foods,media,NA,mid_market,US,active,CSM-East,kenji.ward@summitfoods.example,Kenji Ward,Product Manager,product,2025-01-19 12:12:29,2025-06-21 21:37:03,active,true,false,276
U3016,A1002,Summit Foods,media,NA,mid_market,US,active,CSM-East,priya.meyer@summitfoods.example,Priya Meyer,Marketing Operations Lead,marketing,2025-01-23 11:12:29,2025-06-18 07:37:56,active,true,false,279
U3017,A1002,Summit Foods,media,NA,mid_market,US,active,CSM-East,sofia.morgan@summitfoods.example,Sofia Morgan,Technical Program Manager,product,2025-01-13 14:12:29,2025-06-29 17:52:23,active,true,false,268
U3018,A1002,Summit Foods,media,NA,mid_market,US,active,CSM-East,hannah.silva@summitfoods.example,Hannah Silva,BI Analyst,analytics,2025-02-03 17:12:29,2025-05-27 16:39:23,inactive,false,false,301
U3019,A1002,Summit Foods,media,NA,mid_market,US,active,CSM-East,lina.silva@summitfoods.example,Lina Silva,FP&A Analyst,finance,2025-02-24 18:12:29,2025-06-30 03:27:20,active,true,false,267
U3020,A1002,Summit Foods,media,NA,mid_market,US,active,CSM-East,mateo.dubois@summitfoods.example,Mateo Dubois,Workflow Analyst,operations,2025-02-07 12:12:29,2025-06-30 18:02:54,active,true,false,267
U3021,A1002,Summit Foods,media,NA,mid_market,US,active,CSM-East,kenji.nash@summitfoods.example,Kenji Nash,Analytics Manager,analytics,2025-01-17 12:12:29,2025-06-17 23:13:21,active,true,false,280
U3022,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,owen.ng@novaventures.example,Owen Ng,Controller,finance,2025-01-08 21:21:52,2025-06-28 10:24:00,active,true,false,269
U3023,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,marta.ng@novaventures.example,Marta Ng,Insights Lead,analytics,2024-12-14 17:21:52,2025-06-20 15:38:04,active,true,false,277
U3024,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,derek.hart@novaventures.example,Derek Hart,Finance Manager,finance,2024-12-20 23:21:52,2025-06-12 10:09:58,active,true,false,285
U3025,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,victor.fischer@novaventures.example,Victor Fischer,CFO,executive,2025-01-16 16:21:52,2025-06-27 06:34:56,active,true,false,270
U3026,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,owen.fischer@novaventures.example,Owen Fischer,CFO,executive,2024-12-15 18:21:52,2025-06-20 10:52:17,active,true,false,277
U3027,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,alma.dubois@novaventures.example,Alma Dubois,Marketing Operations Lead,marketing,2024-12-12 18:21:52,2025-06-20 04:26:11,active,true,false,277
U3028,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,arjun.grant@novaventures.example,Arjun Grant,Analytics Manager,analytics,2025-01-25 23:21:52,2025-06-25 15:26:39,active,true,false,272
U3029,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,claire.rossi@novaventures.example,Claire Rossi,Marketing Operations Lead,marketing,2024-12-19 17:21:52,2025-06-28 02:34:05,active,true,false,269
U3030,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,owen.petrova@novaventures.example,Owen Petrova,VP Data,executive,2025-01-25 17:21:52,2025-06-17 20:08:53,active,true,false,280
U3031,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,jonas.rahman@novaventures.example,Jonas Rahman,FP&A Analyst,finance,2025-01-12 19:21:52,2025-06-15 16:04:46,active,true,false,282
U3032,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,naomi.alvarez@novaventures.example,Naomi Alvarez,Product Manager,product,2025-01-04 00:21:52,2025-06-22 03:17:01,active,true,false,275
U3033,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,arjun.lewis@novaventures.example,Arjun Lewis,Operations Director,operations,2024-12-30 22:21:52,2025-04-21 20:57:34,inactive,false,false,337
U3034,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,kai.price@novaventures.example,Kai Price,Operations Director,operations,2024-12-31 17:21:52,2025-06-27 07:11:31,active,true,false,270
U3035,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,mateo.cole@novaventures.example,Mateo Cole,Controller,finance,2025-01-20 18:21:52,2025-06-13 22:10:01,active,true,false,284
U3036,A1003,Nova Ventures,manufacturing,NA,enterprise,US,active,CSM-East,ivy.hart@novaventures.example,Ivy Hart,Data Engineer,data,2025-01-13 18:21:52,2025-06-14 17:21:09,active,true,false,283
